 K(k): Complete Elliptic Integral of the first kind
 The value of K(k) with different computation methods
 k = 0.00, AGM K = 1.5707963, Series K = 1.5707963, IntGL K= 1.5707963, IntGC K = 1.5707963
 k = 0.02, AGM K = 1.5709534, Series K = 1.5709534, IntGL K= 1.5709534, IntGC K = 1.5709534
 k = 0.04, AGM K = 1.5714252, Series K = 1.5714252, IntGL K= 1.5714252, IntGC K = 1.5714252
 k = 0.06, AGM K = 1.5722129, Series K = 1.5722129, IntGL K= 1.5722129, IntGC K = 1.5722129
 k = 0.08, AGM K = 1.5733187, Series K = 1.5733187, IntGL K= 1.5733187, IntGC K = 1.5733187
 k = 0.10, AGM K = 1.5747456, Series K = 1.5747456, IntGL K= 1.5747456, IntGC K = 1.5747456
 k = 0.12, AGM K = 1.5764975, Series K = 1.5764975, IntGL K= 1.5764975, IntGC K = 1.5764975
 k = 0.14, AGM K = 1.5785793, Series K = 1.5785793, IntGL K= 1.5785793, IntGC K = 1.5785793
 k = 0.16, AGM K = 1.5809968, Series K = 1.5809968, IntGL K= 1.5809968, IntGC K = 1.5809968
 k = 0.18, AGM K = 1.5837570, Series K = 1.5837570, IntGL K= 1.5837570, IntGC K = 1.5837570
 k = 0.20, AGM K = 1.5868678, Series K = 1.5868678, IntGL K= 1.5868678, IntGC K = 1.5868678
 k = 0.22, AGM K = 1.5903385, Series K = 1.5903385, IntGL K= 1.5903385, IntGC K = 1.5903385
 k = 0.24, AGM K = 1.5941793, Series K = 1.5941793, IntGL K= 1.5941793, IntGC K = 1.5941793
 k = 0.26, AGM K = 1.5984022, Series K = 1.5984022, IntGL K= 1.5984022, IntGC K = 1.5984022
 k = 0.28, AGM K = 1.6030203, Series K = 1.6030203, IntGL K= 1.6030203, IntGC K = 1.6030203
 k = 0.30, AGM K = 1.6080486, Series K = 1.6080486, IntGL K= 1.6080486, IntGC K = 1.6080486
 k = 0.32, AGM K = 1.6135037, Series K = 1.6135037, IntGL K= 1.6135037, IntGC K = 1.6135037
 k = 0.34, AGM K = 1.6194043, Series K = 1.6194043, IntGL K= 1.6194043, IntGC K = 1.6194043
 k = 0.36, AGM K = 1.6257712, Series K = 1.6257712, IntGL K= 1.6257712, IntGC K = 1.6257712
 k = 0.38, AGM K = 1.6326277, Series K = 1.6326277, IntGL K= 1.6326277, IntGC K = 1.6326277
 k = 0.40, AGM K = 1.6399999, Series K = 1.6399999, IntGL K= 1.6399999, IntGC K = 1.6399999
 k = 0.42, AGM K = 1.6479168, Series K = 1.6479168, IntGL K= 1.6479168, IntGC K = 1.6479168
 k = 0.44, AGM K = 1.6564112, Series K = 1.6564112, IntGL K= 1.6564112, IntGC K = 1.6564112
 k = 0.46, AGM K = 1.6655198, Series K = 1.6655198, IntGL K= 1.6655198, IntGC K = 1.6655198
 k = 0.48, AGM K = 1.6752839, Series K = 1.6752839, IntGL K= 1.6752839, IntGC K = 1.6752839
 k = 0.50, AGM K = 1.6857504, Series K = 1.6857504, IntGL K= 1.6857504, IntGC K = 1.6857504
 k = 0.52, AGM K = 1.6969720, Series K = 1.6969720, IntGL K= 1.6969720, IntGC K = 1.6969720
 k = 0.54, AGM K = 1.7090091, Series K = 1.7090091, IntGL K= 1.7090091, IntGC K = 1.7090091
 k = 0.56, AGM K = 1.7219304, Series K = 1.7219304, IntGL K= 1.7219304, IntGC K = 1.7219304
 k = 0.58, AGM K = 1.7358149, Series K = 1.7358149, IntGL K= 1.7358149, IntGC K = 1.7358149
 k = 0.60, AGM K = 1.7507538, Series K = 1.7507538, IntGL K= 1.7507538, IntGC K = 1.7507538
 k = 0.62, AGM K = 1.7668530, Series K = 1.7668530, IntGL K= 1.7668530, IntGC K = 1.7668530
 k = 0.64, AGM K = 1.7842363, Series K = 1.7842363, IntGL K= 1.7842363, IntGC K = 1.7842363
 k = 0.66, AGM K = 1.8030496, Series K = 1.8030496, IntGL K= 1.8030496, IntGC K = 1.8030496
 k = 0.68, AGM K = 1.8234662, Series K = 1.8234662, IntGL K= 1.8234662, IntGC K = 1.8234662
 k = 0.70, AGM K = 1.8456940, Series K = 1.8456940, IntGL K= 1.8456940, IntGC K = 1.8456940
 k = 0.72, AGM K = 1.8699854, Series K = 1.8699854, IntGL K= 1.8699854, IntGC K = 1.8699854
 k = 0.74, AGM K = 1.8966503, Series K = 1.8966503, IntGL K= 1.8966503, IntGC K = 1.8966503
 k = 0.76, AGM K = 1.9260748, Series K = 1.9260748, IntGL K= 1.9260748, IntGC K = 1.9260748
 k = 0.78, AGM K = 1.9587482, Series K = 1.9587482, IntGL K= 1.9587482, IntGC K = 1.9587482
 k = 0.80, AGM K = 1.9953028, Series K = 1.9953028, IntGL K= 1.9953028, IntGC K = 1.9953028
 k = 0.82, AGM K = 2.0365747, Series K = 2.0365747, IntGL K= 2.0365747, IntGC K = 2.0365747
